IID,FID,tray,pos,HT1,HT2
1681,NSW_1079783,9,E-1,96,177
65,NSW_1071110,9,A-2,38,73
1524,NSW_1079760,9,B-2,56,104
205,NSW_1074324,9,C-2,55,98
302,NSW_1075706,9,D-2,48,89
1131,NSW_1079724,9,E-2,18,18
1525,NSW_1079761,9,A-3,NA,NA
2335,NSW_1075710,9,B-3,22,33
996,NSW_1079713,9,C-3,NA,NA
654,NSW_1079670,9,D-3,28,38
297,NSW_1074423,9,E-3,50,96
1208,NSW_1079730,9,A-4,NA,NA
1390,NSW_1079745,9,B-4,71,126
1870,NSW_1079814,9,C-4,NA,NA
250,NSW_1075723,9,D-4,NA,NA
546,NSW_1078657,9,E-4,NA,NA
151,NSW_1071138,9,A-5,102,143
1134,NSW_1079724,9,B-5,19,50
1281,NSW_1079735,9,C-5,NA,NA
1118,NSW_1079723,9,D-5,79,149
818,NSW_1079697,9,E-5,NA,NA
1090,NSW_1079721,9,A-6,NA,NA
978,NSW_1075712,9,B-6,34,54
246,NSW_1075723,9,C-6,NA,NA
1257,NSW_1079733,9,D-6,40,75
87,NSW_1071115,9,E-6,44,103
696,NSW_1079675,9,A-7,38,71
111,NSW_1071123,9,B-7,NA,NA
2137,NSW_1080776,9,C-7,NA,NA
357,NSW_1074453,9,D-7,19,44
626,NSW_1079654,9,E-7,92,184
2011,NSW_1080765,9,A-8,85,139
2176,NSW_1080779,9,B-8,NA,NA
442,NSW_1078642,9,C-8,25,40
585,NSW_1078662,9,D-8,67,115
2365,NSW_1075722,9,E-8,NA,NA
1196,NSW_1079729,9,A-9,NA,NA
1399,NSW_1079746,9,B-9,NA,NA
2133,NSW_1080775,9,C-9,26,56
2258,NSW_1080786,9,D-9,24,39
1285,NSW_1079736,9,E-9,53,93
1064,NSW_1079719,9,A-10,33,65
1336,NSW_1079740,9,B-10,12,14
336,NSW_1074329,9,C-10,38,65
835,NSW_1079701,9,D-10,50,93
439,NSW_1078642,9,E-10,8,13
529,NSW_1078656,10,A-1,162,224
1784,NSW_1079798,10,B-1,78,132
93,NSW_1071115,10,C-1,NA,NA
1719,NSW_1079788,10,D-1,84,154
134,NSW_1071133,10,E-1,115,153
1821,NSW_1079804,10,A-2,85,147
1334,NSW_1079740,10,B-2,66,129
1911,NSW_1079822,10,C-2,NA,NA
369,NSW_1074458,10,D-2,NA,NA
767,NSW_1079687,10,E-2,NA,NA
2030,NSW_1080767,10,A-3,107,157
190,NSW_1071148,10,B-3,36,77
1759,NSW_1079794,10,C-3,NA,NA
2200,NSW_1080781,10,D-3,68,136
14,NSW_1071075,10,E-3,60,122
610,NSW_1078713,10,A-4,NA,NA
1935,NSW_1080759,10,B-4,55,87
847,NSW_1079702,10,C-4,12,16
19,NSW_1071075,10,D-4,5,10
83,NSW_1071113,10,E-4,14,38
1030,NSW_1079716,10,A-5,120,194
350,NSW_1074453,10,B-5,NA,NA
2016,NSW_1080765,10,C-5,NA,NA
212,NSW_1075719,10,D-5,110,200
2151,NSW_1080777,10,E-5,NA,NA
1428,NSW_1079748,10,A-6,NA,NA
1586,NSW_1079767,10,B-6,NA,NA
2136,NSW_1080775,10,C-6,71,148
2001,NSW_1080764,10,D-6,NA,NA
700,NSW_1079677,10,E-6,134,224
57,NSW_1071090,10,A-7,92,153
219,NSW_1074324,10,B-7,NA,NA
1908,NSW_1079821,10,C-7,67,151
1155,NSW_1079726,10,D-7,70,155
708,NSW_1079677,10,E-7,NA,NA
315,NSW_1074428,10,A-8,NA,NA
919,NSW_1079707,10,B-8,NA,NA
1748,NSW_1079793,10,C-8,NA,NA
566,NSW_1078660,10,D-8,NA,NA
1235,NSW_1079731,10,E-8,NA,NA
1113,NSW_1079722,10,A-9,NA,NA
475,NSW_1078647,10,B-9,116,211
743,NSW_1079682,10,C-9,8,8
1010,NSW_1079715,10,D-9,184,278
1691,NSW_1079783,10,E-9,20,48
1434,NSW_1079750,10,A-10,75,129
1805,NSW_1079803,10,B-10,NA,NA
1093,NSW_1079722,10,C-10,108,186
1141,NSW_1079725,10,D-10,NA,NA
957,NSW_1079710,10,E-10,NA,NA
766,NSW_1079687,11,A-1,NA,NA
823,NSW_1079697,11,B-1,NA,NA
872,NSW_1079703,11,C-1,72,100
1502,NSW_1079758,11,D-1,85,144
1413,NSW_1079747,11,E-1,46,84
72,NSW_1071110,11,A-2,NA,NA
368,NSW_1074458,11,B-2,NA,NA
2149,NSW_1080777,11,C-2,88,123
1673,NSW_1079779,11,D-2,NA,NA
1414,NSW_1079747,11,E-2,NA,NA
826,NSW_1079697,11,A-3,36,59
848,NSW_1075707,11,B-3,6,11
1765,NSW_1079794,11,C-3,4,6
637,NSW_1079658,11,D-3,6,12
1676,NSW_1079779,11,E-3,13,34
1080,NSW_1079720,11,A-4,NA,NA
113,NSW_1071123,11,B-4,163,279
2076,NSW_1080770,11,C-4,12,28
1793,NSW_1079799,11,D-4,NA,NA
2368,NSW_1075722,11,E-4,NA,NA
481,NSW_1078651,11,A-5,67,128
1499,NSW_1079756,11,B-5,20,38
1330,NSW_1079739,11,C-5,16,26
2004,NSW_1080764,11,D-5,NA,NA
440,NSW_1078642,11,E-5,36,65
1861,NSW_1079814,11,A-6,120,169
2148,NSW_1080776,11,B-6,NA,NA
167,NSW_1071143,11,C-6,NA,NA
647,NSW_1079658,11,D-6,NA,NA
1003,NSW_1079714,11,E-6,NA,NA
67,NSW_1071110,11,A-7,NA,NA
948,NSW_1079709,11,B-7,64,129
339,NSW_1074433,11,C-7,58,108
1125,NSW_1079723,11,D-7,81,166
1471,NSW_1079753,11,E-7,NA,NA
1465,NSW_1079753,11,A-8,NA,NA
289,NSW_1074423,11,B-8,78,163
2082,NSW_1080771,11,C-8,NA,NA
694,NSW_1079675,11,D-8,57,129
2278,NSW_1080787,11,E-8,18,37
1931,NSW_1080758,11,A-9,NA,NA
2050,NSW_1080768,11,B-9,NA,NA
504,NSW_1078652,11,C-9,NA,NA
972,NSW_1079711,11,D-9,71,165
1546,NSW_1079762,11,E-9,68,151
720,NSW_1079680,11,A-10,NA,NA
114,NSW_1071123,11,B-10,NA,NA
1669,NSW_1079779,11,C-10,32,78
2398,NSW_1075718,11,D-10,NA,NA
574,NSW_1078660,11,E-10,44,94
2344,NSW_1075713,12,A-1,98,173
657,NSW_1079670,12,B-1,26,45
358,NSW_1074453,12,C-1,70,131
1288,NSW_1079736,12,D-1,NA,NA
2346,NSW_1075713,12,E-1,92,174
79,NSW_1071113,12,A-2,NA,NA
1041,NSW_1079717,12,B-2,76,165
1783,NSW_1079798,12,C-2,44,75
2316,NSW_1075720,12,D-2,65,154
1516,NSW_1079760,12,E-2,90,149
448,NSW_1078645,12,A-3,NA,NA
1458,NSW_1079752,12,B-3,NA,NA
1086,NSW_1079721,12,C-3,NA,NA
1697,NSW_1079783,12,D-3,104,164
1716,NSW_1079784,12,E-3,NA,NA
1740,NSW_1079789,12,A-4,68,110
1955,NSW_1080761,12,B-4,50,100
2260,NSW_1080786,12,C-4,NA, NA
1547,NSW_1079762,12,D-4,67,134
650,NSW_1079670,12,E-4,74,155
1403,NSW_1079746,12,A-5,48,118
985,NSW_1079713,12,B-5,26,48
1909,NSW_1079822,12,C-5,89,164
1685,NSW_1079783,12,D-5,NA,NA
661,NSW_1079671,12,E-5,NA,NA
1477,NSW_1079755,12,A-6,NA,NA
2080,NSW_1080771,12,B-6,54,115
672,NSW_1079671,12,C-6,NA,NA
1541,NSW_1079762,12,D-6,NA,NA
2194,NSW_1080780,12,E-6,54,156
909,NSW_1079706,12,A-7,NA,NA
213,NSW_1074324,12,B-7,NA,NA
577,NSW_1078662,12,C-7,52,94
1745,NSW_1079793,12,D-7,NA,NA
2383,NSW_1075705,12,E-7,54,125
1388,NSW_1079745,12,A-8,NA,NA
595,NSW_1078662,12,B-8,NA,NA
1361,NSW_1079743,12,C-8,NA,NA
1755,NSW_1079794,12,D-8,60,123
1733,NSW_1079789,12,E-8,NA,NA
901,NSW_1079706,12,A-9,36,86
1209,NSW_1079730,12,B-9,NA,NA
2071,NSW_1080770,12,C-9,NA,NA
2388,NSW_1075705,12,D-9,44,94
2109,NSW_1080773,12,E-9,NA,NA
2067,NSW_1080770,12,A-10,NA,NA
655,NSW_1079670,12,B-10,NA,NA
792,NSW_1079692,12,C-10,NA,NA
1707,NSW_1079784,12,D-10,NA,NA
1293,NSW_1079736,12,E-10,NA,NA
846,NSW_1075707,13,A-1,4,5
1936,NSW_1080759,13,B-1,84,156
1353,NSW_1079741,13,C-1,NA,NA
171,NSW_1071143,13,D-1,125,215
911,NSW_1079706,13,E-1,NA,NA
722,NSW_1079681,13,A-2,NA,NA
1763,NSW_1079794,13,B-2,NA,NA
2145,NSW_1080776,13,C-2,28,74
797,NSW_1079696,13,D-2,41,106
437,NSW_1078642,13,E-2,66,143
265,NSW_1074339,13,A-3,NA,NA
2232,NSW_1080784,13,B-3,74,148
1496,NSW_1079756,13,C-3,28,84
1953,NSW_1080761,13,D-3,NA,NA
958,NSW_1079710,13,E-3,6,6
1124,NSW_1079723,13,A-4,121,196
809,NSW_1079696,13,B-4,32,78
891,NSW_1079706,13,C-4,6,12
2105,NSW_1080773,13,D-4,47,103
1322,NSW_1079739,13,E-4,NA,NA
2375,NSW_1075722,13,A-5,120,151
930,NSW_1079708,13,B-5,3,NA
303,NSW_1074428,13,C-5,NA,NA
1078,NSW_1079720,13,D-5,NA,NA
2015,NSW_1080765,13,E-5,132,229
499,NSW_1078652,13,A-6,128,215
2014,NSW_1080765,13,B-6,119,210
1316,NSW_1079738,13,C-6,NA,NA
1973,NSW_1080762,13,D-6,161,269
1996,NSW_1080764,13,E-6,NA,NA
721,NSW_1079681,13,A-7,NA,NA
741,NSW_1079682,13,B-7,106,212
476,NSW_1078647,13,C-7,140,237
539,NSW_1078656,13,D-7,NA,NA
1563,NSW_1079765,13,E-7,98,196
2168,NSW_1080778,13,A-8,49,104
969,NSW_1079711,13,B-8,77,177
549,NSW_1078657,13,C-8,3,4
244,NSW_1075723,13,D-8,NA,NA
1714,NSW_1079784,13,E-8,83,144
2207,NSW_1080781,13,A-9,NA,NA
1816,NSW_1079804,13,B-9,84,164
1822,NSW_1079804,13,C-9,70,118
1075,NSW_1079720,13,D-9,28,68
