Sample Number,Well Location,plate,Sample Name,BOX,ROW,COLUMN,Concentration ng/ul
235,C06,3,1441,3,4,E,5.19
236,D06,3,1573,3,4,F,5.78
237,E06,3,394,3,4,G,8.53
238,F06,3,1818,3,4,H,6.09
239,G06,3,398,3,4,I,4
240,H06,3,1518,3,4,J,6.51
241,A07,3,869,3,5,A,7.82
242,B07,3,1900,3,5,B,5.82
243,C07,3,732,3,5,C,4.56
244,D07,3,1874,3,5,D,5.61
245,E07,3,102,3,5,E,7.05
246,F07,3,1305,3,5,F,4.97
247,G07,3,1749,3,5,G,8.65
248,H07,3,905,3,5,H,5.94
249,A08,3,148,3,5,I,6.83
250,B08,3,1841,3,5,J,6.08
251,C08,3,150,3,6,A,8.06
252,D08,3,248,3,6,B,3.83
253,E08,3,1813,3,6,C,7.11
254,F08,3,1161,3,6,D,5.97
255,G08,3,597,3,6,E,5.39
256,H08,3,1837,3,6,F,11.27
257,A09,3,550,3,6,G,11.85
258,B09,3,108,3,6,H,8.16
259,C09,3,2302,3,6,I,4.85
260,D09,3,231,3,6,J,6.72
261,E09,3,451,3,7,A,5.22
262,F09,3,1877,3,7,B,3.79
263,G09,3,183,3,7,C,4.31
264,H09,3,2014,3,7,D,5.38
265,A10,3,499,3,7,E,5.25
266,B10,3,2015,3,7,F,5.51
267,C10,3,1973,3,7,G,10.25
268,D10,3,2375,3,7,H,5.41
269,E10,3,2105,3,7,I,5.58
270,F10,3,809,3,7,J,6.37
271,G10,3,1124,3,8,A,4.09
272,H10,3,1496,3,8,B,5.9
273,A11,3,2232,3,8,C,7.8
274,B11,3,868,3,8,D,8.28
275,C11,3,1452,3,8,E,6.44
276,D11,3,382,3,8,F,6.95
277,E11,3,2203,3,8,G,5.98
278,F11,3,1431,3,8,H,5.87
279,G11,3,81,3,8,I,11.01
280,H11,3,2115,3,8,J,7.41
281,A12,3,2299,3,9,A,6.13
282,B12,3,704,3,9,B,6.1
283,C12,3,716,3,9,C,5.94
284,D12,3,165,3,9,D,3.89
285,E12,3,137,3,9,E,12.33
286,F12,3,829,3,9,F,6.16
287,G12,3,1082,3,9,G,7.08
